Source, MJD, Filter, Mag, Magerr, Maglimit
"Roman", 58716.88240, "F129", 23.3659, 0.0813, 
"Roman", 58721.88240, "F129", 24.6712, 0.1483, 
"Roman", 58728.88240, "F129", 25.0444, 0.1761, 
"Roman", 58737.88240, "F129", 25.1557, 0.1854, 
"Roman", 58716.88240, "F158", 22.9052, 0.0658, 
"Roman", 58721.88240, "F158", 24.3127, 0.1257, 
"Roman", 58728.88240, "F158", 24.8755, 0.1629, 
"Roman", 58737.88240, "F158", 25.0412, 0.1758, 
"LSST", 58710.38240, "g", 22.4604, 0.0426, 
"LSST", 58710.44837, "g", 22.4419, 0.0422, 
"LSST", 58710.51434, "g", 22.4450, 0.0423, 
"LSST", 58710.38240, "r", 22.1876, 0.0431, 
"LSST", 58710.44837, "r", 22.1184, 0.0417, 
"LSST", 58710.51434, "r", 22.0717, 0.0409, 
"LSST", 58711.88240, "r", 23.1653, 0.0676, 
"LSST", 58712.88240, "r", 24.0314, 0.1007, 
"LSST", 58713.88240, "r", 24.6028, 0.1310, 
"LSST", 58710.38240, "i", 22.1266, 0.0578, 
"LSST", 58710.44837, "i", 22.0274, 0.0553, 
"LSST", 58710.51434, "i", 21.9512, 0.0533, 
"LSST", 58711.88240, "i", 22.5704, 0.0709, 
"LSST", 58712.88240, "i", 23.3165, 0.1000, 
"LSST", 58713.88240, "i", 23.8096, 0.1255, 
