# Rest-frame phase (days) and absolute magnitude (AB) per band
phase_rest_day F129 F158 g r i
0.047523 -11.0385 -10.6779 -12.3107 -12.0736 -11.8376
0.142728 -12.7819 -12.4680 -13.5915 -13.5326 -13.3996
0.237933 -13.5491 -13.2655 -14.0576 -14.1142 -14.0483
0.333138 -14.0286 -13.7696 -14.2914 -14.4418 -14.4307
0.428343 -14.3668 -14.1297 -14.4102 -14.6441 -14.6821
0.523548 -14.6195 -14.4030 -14.4569 -14.7690 -14.8531
0.618753 -14.8139 -14.6173 -14.4516 -14.8391 -14.9681
0.713957 -14.9651 -14.7878 -14.4049 -14.8672 -15.0407
0.809162 -15.0813 -14.9219 -14.3243 -14.8619 -15.0801
0.904367 -15.1702 -15.0294 -14.2121 -14.8262 -15.0901
0.999572 -15.2361 -15.1146 -14.0707 -14.7631 -15.0741
1.094777 -15.2817 -15.1804 -13.9022 -14.6750 -15.0345
1.189982 -15.3093 -15.2291 -13.7085 -14.5639 -14.9735
1.285187 -15.3205 -15.2622 -13.4922 -14.4320 -14.8930
1.380392 -15.3182 -15.2837 -13.2508 -14.2779 -14.7928
1.475597 -15.2953 -15.2809 -13.0254 -14.1263 -14.6869
1.570802 -15.2321 -15.2201 -12.9490 -14.0527 -14.6160
1.666007 -15.1710 -15.1642 -12.8483 -13.9642 -14.5362
1.761212 -15.1089 -15.1078 -12.7449 -13.8728 -14.4538
1.856417 -15.0467 -15.0519 -12.6409 -13.7802 -14.3703
1.951621 -14.9865 -14.9989 -12.5326 -13.6850 -14.2854
2.046826 -14.9286 -14.9489 -12.4243 -13.5898 -14.2010
2.142031 -14.8739 -14.9029 -12.3159 -13.4951 -14.1178
2.237236 -14.8230 -14.8611 -12.2084 -13.4017 -14.0364
2.332441 -14.7761 -14.8240 -12.1029 -13.3105 -13.9576
2.427646 -14.7334 -14.7914 -12.0002 -13.2220 -13.8817
2.522851 -14.6947 -14.7631 -11.9009 -13.1366 -13.8091
2.618056 -14.6599 -14.7389 -11.8055 -13.0548 -13.7399
2.713261 -14.6286 -14.7183 -11.7144 -12.9766 -13.6742
2.808466 -14.6005 -14.7009 -11.6279 -12.9021 -13.6117
2.903671 -14.5749 -14.6861 -11.5461 -12.8312 -13.5524
2.998876 -14.5516 -14.6734 -11.4688 -12.7637 -13.4958
3.094081 -14.5300 -14.6624 -11.3960 -12.6995 -13.4418
3.189285 -14.5098 -14.6526 -11.3275 -12.6383 -13.3900
3.284490 -14.4905 -14.6437 -11.2630 -12.5797 -13.3402
3.379695 -14.4719 -14.6353 -11.2022 -12.5236 -13.2919
3.474900 -14.4537 -14.6272 -11.1448 -12.4697 -13.2450
3.570105 -14.4356 -14.6191 -11.0907 -12.4177 -13.1992
3.665310 -14.4175 -14.6109 -11.0394 -12.3675 -13.1544
3.760515 -14.3991 -14.6024 -10.9908 -12.3189 -13.1103
3.855720 -14.3804 -14.5935 -10.9447 -12.2718 -13.0669
3.950925 -14.3613 -14.5840 -10.9008 -12.2260 -13.0240
4.046130 -14.3416 -14.5740 -10.8591 -12.1814 -12.9817
4.141335 -14.3214 -14.5633 -10.8193 -12.1380 -12.9397
4.236540 -14.3005 -14.5519 -10.7813 -12.0958 -12.8981
4.331745 -14.2789 -14.5398 -10.7450 -12.0546 -12.8569
4.426949 -14.2567 -14.5270 -10.7103 -12.0145 -12.8161
4.522154 -14.2337 -14.5133 -10.6771 -11.9755 -12.7757
4.617359 -14.2100 -14.4989 -10.6454 -11.9375 -12.7356
4.712564 -14.1855 -14.4836 -10.6149 -11.9005 -12.6959
4.807769 -14.1603 -14.4676 -10.5858 -11.8645 -12.6566
4.902974 -14.1344 -14.4507 -10.5578 -11.8295 -12.6178
4.998179 -14.1077 -14.4330 -10.5310 -11.7955 -12.5795
5.093384 -14.0802 -14.4144 -10.5052 -11.7625 -12.5416
5.188589 -14.0520 -14.3951 -10.4804 -11.7305 -12.5043
5.283794 -14.0231 -14.3749 -10.4565 -11.6994 -12.4676
