Source, MJD, Filter, Mag, Magerr, Maglimit
"Roman", 58716.88240, "F129", 24.5559, 0.1406, 
"Roman", 58721.88240, "F129", 25.1322, 0.1834, 
"Roman", 58728.88240, "F129", , , 25.5000
"Roman", 58737.88240, "F129", , , 25.5000
"Roman", 58716.88240, "F158", 24.5062, 0.1374, 
"Roman", 58721.88240, "F158", 25.0825, 0.1792, 
"Roman", 58728.88240, "F158", , , 25.5000
"Roman", 58737.88240, "F158", , , 25.5000
"LSST", 58710.38240, "g", , , 26.0000
"LSST", 58710.44837, "g", , , 26.0000
"LSST", 58710.51434, "g", , , 26.0000
"LSST", 58710.38240, "r", , , 25.7000
"LSST", 58710.44837, "r", , , 25.7000
"LSST", 58710.51434, "r", , , 25.7000
"LSST", 58711.88240, "r", , , 25.7000
"LSST", 58712.88240, "r", , , 25.7000
"LSST", 58713.88240, "r", , , 25.7000
"LSST", 58710.38240, "i", , , 25.0000
"LSST", 58710.44837, "i", , , 25.0000
"LSST", 58710.51434, "i", , , 25.0000
"LSST", 58711.88240, "i", , , 25.0000
"LSST", 58712.88240, "i", , , 25.0000
"LSST", 58713.88240, "i", , , 25.0000
