# Rest-frame phase (days) and absolute magnitude (AB) per band
phase_rest_day F129 F158 g r i
0.047523 -7.8351 -7.5228 -8.5752 -8.5540 -8.4369
0.142728 -9.4587 -9.2221 -9.4000 -9.6894 -9.7520
0.237933 -10.1549 -9.9673 -9.5897 -10.0712 -10.2480
0.333138 -10.5848 -10.4360 -9.6260 -10.2541 -10.5197
0.428343 -10.8877 -10.7719 -9.5989 -10.3482 -10.6883
0.523548 -11.1165 -11.0299 -9.5394 -10.3934 -10.7984
0.618753 -11.2969 -11.2369 -9.4615 -10.4084 -10.8715
0.713957 -11.4433 -11.4078 -9.3721 -10.4032 -10.9193
0.809162 -11.5646 -11.5519 -9.2753 -10.3838 -10.9488
0.904367 -11.6667 -11.6756 -9.1733 -10.3537 -10.9644
0.999572 -11.7534 -11.7828 -9.0683 -10.3160 -10.9695
1.094777 -11.8264 -11.8735 -8.9747 -10.2806 -10.9713
1.189982 -11.8782 -11.9281 -9.0020 -10.3162 -11.0124
1.285187 -11.9229 -11.9726 -9.0479 -10.3618 -11.0577
1.380392 -11.9636 -12.0134 -9.0883 -10.4023 -11.0983
1.475597 -12.0008 -12.0505 -9.1255 -10.4395 -11.1355
1.570802 -12.0348 -12.0846 -9.1595 -10.4735 -11.1695
1.666007 -12.0661 -12.1159 -9.1909 -10.5048 -11.2008
1.761212 -12.0950 -12.1447 -9.2197 -10.5337 -11.2297
1.856417 -12.1216 -12.1714 -9.2464 -10.5604 -11.2564
1.951621 -12.1463 -12.1961 -9.2711 -10.5850 -11.2810
2.046826 -12.1692 -12.2189 -9.2939 -10.6079 -11.3039
2.142031 -12.1904 -12.2402 -9.3151 -10.6291 -11.3251
2.237236 -12.2101 -12.2599 -9.3348 -10.6488 -11.3448
2.332441 -12.2284 -12.2782 -9.3532 -10.6671 -11.3631
2.427646 -12.2454 -12.2952 -9.3702 -10.6841 -11.3801
2.522851 -12.2613 -12.3110 -9.3860 -10.7000 -11.3960
2.618056 -12.2760 -12.3257 -9.4007 -10.7147 -11.4107
2.713261 -12.2896 -12.3394 -9.4143 -10.7283 -11.4243
2.808466 -12.3023 -12.3520 -9.4270 -10.7410 -11.4370
2.903671 -12.3140 -12.3638 -9.4388 -10.7528 -11.4488
2.998876 -12.3249 -12.3747 -9.4497 -10.7636 -11.4596
3.094081 -12.3350 -12.3848 -9.4597 -10.7737 -11.4697
3.189285 -12.3443 -12.3940 -9.4690 -10.7830 -11.4790
3.284490 -12.3528 -12.4026 -9.4776 -10.7916 -11.4876
3.379695 -12.3607 -12.4104 -9.4854 -10.7994 -11.4954
3.474900 -12.3679 -12.4176 -9.4926 -10.8066 -11.5026
3.570105 -12.3744 -12.4242 -9.4991 -10.8131 -11.5091
3.665310 -12.3803 -12.4301 -9.5051 -10.8190 -11.5150
3.760515 -12.3857 -12.4354 -9.5104 -10.8244 -11.5204
3.855720 -12.3904 -12.4402 -9.5152 -10.8291 -11.5252
3.950925 -12.3947 -12.4444 -9.5194 -10.8334 -11.5294
4.046130 -12.3984 -12.4481 -9.5231 -10.8371 -11.5331
4.141335 -12.4016 -12.4513 -9.5263 -10.8403 -11.5363
4.236540 -12.4043 -12.4540 -9.5290 -10.8430 -11.5390
4.331745 -12.4065 -12.4563 -9.5313 -10.8452 -11.5413
4.426949 -12.4083 -12.4581 -9.5331 -10.8470 -11.5430
4.522154 -12.4097 -12.4594 -9.5344 -10.8484 -11.5444
4.617359 -12.4106 -12.4603 -9.5353 -10.8493 -11.5453
4.712564 -12.4111 -12.4608 -9.5358 -10.8498 -11.5458
4.807769 -12.4112 -12.4609 -9.5359 -10.8499 -11.5459
4.902974 -12.4109 -12.4606 -9.5356 -10.8496 -11.5456
4.998179 -12.4102 -12.4600 -9.5349 -10.8489 -11.5449
5.093384 -12.4091 -12.4589 -9.5339 -10.8479 -11.5439
5.188589 -12.4077 -12.4575 -9.5325 -10.8464 -11.5424
5.283794 -12.4059 -12.4557 -9.5307 -10.8447 -11.5407
5.378999 -12.4038 -12.4536 -9.5286 -10.8425 -11.5385
5.474204 -12.4014 -12.4511 -9.5261 -10.8401 -11.5361
5.569409 -12.3986 -12.4483 -9.5233 -10.8373 -11.5333
5.664613 -12.3954 -12.4452 -9.5202 -10.8341 -11.5301
5.759818 -12.3920 -12.4417 -9.5167 -10.8307 -11.5267
5.855023 -12.3882 -12.4380 -9.5130 -10.8269 -11.5229
5.950228 -12.3841 -12.4339 -9.5089 -10.8229 -11.5189
6.045433 -12.3798 -12.4295 -9.5045 -10.8185 -11.5145
6.140638 -12.3751 -12.4249 -9.4998 -10.8138 -11.5098
6.235843 -12.3702 -12.4199 -9.4949 -10.8089 -11.5049
6.331048 -12.3649 -12.4147 -9.4897 -10.8036 -11.4996
6.426253 -12.3594 -12.4091 -9.4841 -10.7981 -11.4941
6.521458 -12.3536 -12.4033 -9.4783 -10.7923 -11.4883
6.616663 -12.3475 -12.3973 -9.4723 -10.7862 -11.4822
6.711868 -12.3412 -12.3909 -9.4659 -10.7799 -11.4759
6.807073 -12.3346 -12.3843 -9.4593 -10.7733 -11.4693
6.902277 -12.3277 -12.3775 -9.4525 -10.7664 -11.4625
6.997482 -12.3206 -12.3704 -9.4454 -10.7593 -11.4553
7.092687 -12.3133 -12.3630 -9.4380 -10.7520 -11.4480
7.187892 -12.3057 -12.3554 -9.4304 -10.7444 -11.4404
7.283097 -12.2978 -12.3476 -9.4225 -10.7365 -11.4325
7.378302 -12.2897 -12.3395 -9.4145 -10.7284 -11.4244
7.473507 -12.2814 -12.3311 -9.4061 -10.7201 -11.4161
7.568712 -12.2728 -12.3226 -9.3976 -10.7115 -11.4075
7.663917 -12.2640 -12.3138 -9.3888 -10.7028 -11.3988
7.759122 -12.2550 -12.3048 -9.3798 -10.6937 -11.3897
7.854327 -12.2458 -12.2955 -9.3705 -10.6845 -11.3805
7.949532 -12.2363 -12.2861 -9.3611 -10.6750 -11.3711
8.044737 -12.2267 -12.2764 -9.3514 -10.6654 -11.3614
8.139941 -12.2168 -12.2665 -9.3415 -10.6555 -11.3515
8.235146 -12.2067 -12.2564 -9.3314 -10.6454 -11.3414
8.330351 -12.1964 -12.2461 -9.3211 -10.6351 -11.3311
8.425556 -12.1859 -12.2356 -9.3106 -10.6246 -11.3206
8.520761 -12.1752 -12.2249 -9.2999 -10.6139 -11.3099
8.615966 -12.1643 -12.2140 -9.2890 -10.6030 -11.2990
8.711171 -12.1531 -12.2029 -9.2779 -10.5919 -11.2879
8.806376 -12.1418 -12.1916 -9.2666 -10.5806 -11.2766
8.901581 -12.1304 -12.1801 -9.2551 -10.5691 -11.2651
8.996786 -12.1187 -12.1684 -9.2434 -10.5574 -11.2534
9.091991 -12.1068 -12.1566 -9.2315 -10.5455 -11.2415
9.187196 -12.0948 -12.1445 -9.2195 -10.5335 -11.2295
9.282401 -12.0825 -12.1323 -9.2073 -10.5212 -11.2173
9.377605 -12.0701 -12.1199 -9.1949 -10.5088 -11.2049
